str,replace
César,Cesar
Estrada,E.
Chávez,Chavez
", Junior "," Jr "
Bureau of Indian Affairs,BIA
National Forest Development,NF
National Forest,NF
Southwest Pacific Highway,Pacific Highway
Northwest State Highway,Highway
Northeast State Highway,Highway
Southwest State Highway,Highway
Southeast State Highway,Highway
State Highway,Highway
Northwest Highway,Highway
Northeast Highway,Highway
Southwest Highway,Highway
Southeast Highway,Highway
Southwest Old Highway,Highway
Portland Community College,PCC
Transit Center,TC
Park & Ride,PR
(Roadway #1), 
(Roadway #2), 
Connection #1, 
Connection #2, 
Connection #3, 
Connection #4, 
Northwest,NW
Northeast,NE
Southwest,SW
Southeast,SE
N.E.,NE
Metropolitan Area Express,MAX
Portland and Western Railroad,WES
Westside Express Service,WES
Saint,St
